,orderno,sentence
2654,350-9,"Considering the easy operation of the ACPM model and the accessibility of the corresponding satellite images, the Agriculture Crop Photosynthesis Model (ACPM) can be expected to provide information on the winter wheat shortfalls and surplus ahead of the availability of official statistical data."
2655,36-1,"When classifying point clouds, a large amount of time is devoted to the process of engineering a reliable set of features which are then passed to a classifier of choice."
2656,36-2,"Generally, such features - usually derived from the 3D-covariance matrix - are computed using the surrounding neighborhood of points."
2657,36-3,"While these features capture local information, the process is usually time-consuming and requires the application at multiple scales combined with contextual methods in order to adequately describe the diversity of objects within a scene."
2658,36-4,In this paper we present a novel 1D-fully convolutional network that consumes terrain-normalized points directly with the corresponding spectral data (if available) to generate point wise labeling while implicitly learning contextual features in an end-to-end fashion.
2659,36-5,"This unique approach allows us to operate on unordered point sets with varying densities, without relying on expensive hand-crafted features; thus reducing the time needed for testing by an order of magnitude over existing approaches."
2660,36-6,Our method uses only the 3D-coordinates and three corresponding spectral features for each point.
2661,36-7,"Spectral features may either be extracted from 2D-georeferenced images, as shown here for Light Detection and Ranging (LiDAR) point clouds, or extracted directly for passive-derived point clouds, i.e. from multiple-view imagery."
2662,36-8,We train our network by splitting the data into square regions and use a pooling layer that respects the permutation-invariance of the input points.
2663,36-9,"Evaluated using the ISPRS 3D Semantic Labeling Contest, our method scored second place with an overall accuracy of 81.6%."
2664,36-10,"We ranked third place with a mean Fl-score of 63.32%, surpassing the Fl-score of the method with highest accuracy by 1.69%."
2665,36-11,"In addition to labeling 3D-point clouds, we also show that our method can be easily extended to 2D-semantic segmentation tasks, with promising initial results."
2666,37-1,"Terrain scene category is useful not only for some geographical or environmental researches, but also for choosing suitable algorithms or proper parameters of the algorithms for several point cloud processing tasks to achieve better performance."
2667,37-2,"However, there are few studies in point cloud processing focusing on terrain scene classification at present."
2668,37-3,"In this paper, a novel deep learning framework for 3D terrain scene recognition using 2D representation of sparse point cloud is proposed."
2669,37-4,"The framework has two key components. (1) Initially, several suitable discriminative low-level local features are extracted from airborne laser scanning point cloud, and 3D terrain scene is encoded into multi-view and multimodal 2D representation. (2) A two-level fusion network embedded with feature- and decision-level fusion strategy is designed to fully exploit the 2D representation of 3D terrain scene, which can be trained end-to-end."
2670,37-5,Experiment results show that our method achieves an overall accuracy of 96.70% and a kappa coefficient of 0.96 in recognizing nine categories of terrain scene point clouds.
2671,37-6,"Extensive design choices of the underlying framework are tested, and other typical methods from literature for related research are compared."
2672,38-1,We propose a new approach for automatic refinement of unorganized point clouds captured by LiDAR scanning systems.
2673,38-2,"Given a point cloud, our method first abstracts the input data into super voxels via over segmentations, and then builds a K-nearest neighbor graph on these voxel nodes."
2674,38-3,Abstracting into voxel representation provides a means to generate an elastic wireframe over the original data.
2675,38-4,An iterative resampling method is then introduced to project resampling points to all potential surfaces considering repulsion constraints from both interior and exterior of voxels.
2676,38-5,"Our point consolidation process contributes to accurate normal estimation, uniform point distribution, and sufficient sampling density."
2677,38-6,Experiments and comparisons have demonstrated that the proposed method is effective on point clouds from a variety of datasets.
2678,39-1,"With the development of hardwares such as mobile devices and portable depth cameras, on-line 3D reconstruction on the mobile devices with depth streams as input turns to be possible and promising."
2679,39-2,Most existing systems use volumetric representation methods to fuse the depth images and use ICP algorithm to estimate the poses of cameras.
2680,39-3,"However, ICP tracker suffers from large drift in scenes containing insufficient geometric information."
2681,39-4,"To deal with this problem, we propose a stability based sampling method which select different number of point-pairs in different windows according to their geometric stability."
2682,39-5,"In addition, we fuse the ICP tracker with the IMU information through an analysis of the condition number."
2683,39-6,Then we apply the stability based sampling method to the spatially hashed volumetric representation.
2684,39-7,"Qualitative and quantitative evaluations of tracking accuracy and 3D reconstruction results show that our method outperforms the current state-of-the-art systems, especially in scenes lacking sufficient geometric information."
2685,39-8,"In total, our method achieves frame rates 20 Hz on an Apple iPad Air 2 and 200 Hz on a Nvidia GeForce GTX 1060 GPU."
2686,4-1,"The Operational Land Imager (OLI) onboard Landsat-8 satellite can provide remote sensing reflectance (R-rs) of aquatic environments with high spatial resolution (30 m), allowing for benthic habitat mapping and monitoring of bathymetry and water column optical properties."
2687,4-2,"To facilitate these applications, accurate sensor-derived R-rs is required."
2688,4-3,"In this study, we assess atmospheric correction schemes, including NASA's NIR-SWIR approach, Acolite's NIR and SWIR approaches and the cloud-shadow approach."
2689,4-4,"We provide the first comprehensive evaluation for Landsat-8 R-rs retrievals in optically shallow coral reefs, along with an investigation of Landsat-8 R-rs products in a temperate turbid embayment."
2690,4-5,The obtained Landsat-8 R-rs data products are evaluated with concurrent in situ hyperspectral R-rs measurements.
2691,4-6,Our analyses show that the NASA and the cloud-shadow approaches generated reliable R-rs products across shallow coral reefs and optically deep waters.
2692,4-7,"This evaluation suggests that high quality R-rs products are achievable from the Landsat-8 satellite in optically shallow environments, which supports further application of Landsat-8 type measurements for coral reef studies."
2693,40-1,"Point cloud segmentation groups points with similar attributes with respect to geometric, colormetric, radiometric, and/or other information to support Terrestrial Laser Scanning (TLS) data processing such as feature extraction, classification, modeling, analysis, and so forth."
2694,40-2,In this paper we propose a segmentation method consisting of two main steps.
2695,40-3,"First, a novel feature extraction approach, NORmal VAriation ANAlysis (Norvana), eliminates some noise points and extracts edge points without requiring a general (and error prone) normal estimation at each point."
2696,40-4,"Second, region growing groups the points on a smooth surface to obtain the segmentation result."
2697,40-5,"For efficiency, both steps exploit the angular grid structure storing each TLS scan that is often neglected in many segmentation algorithms, which are primarily developed for unorganized point clouds."
2698,40-6,"Additionally, unlike the existing methods exploiting the angular grid structure that can only be applied to a single scan, the proposed method is able to segment multiple registered scans simultaneously."
2699,40-7,The algorithm also takes advantage of parallel programming for efficiency.
2700,40-8,"In the experiment, both qualitative and quantitative evaluations are performed through two datasets whilst the robustness and efficiency of the proposed method are analyzed and discussed."
2701,41-1,Rail fasteners are critical components in high-speed railway.
2702,41-2,"Therefore, they are inspected periodically to ensure the safety of high-speed trains."
2703,41-3,Manual inspection and two-dimensional visual inspection are the commonly used methods.
2704,41-4,"However, both of them have drawbacks."
2705,41-5,"In this paper, a rigorous high-speed railway fastener inspection approach from structured light sensors is proposed to detect damaged and loose fasteners."
2706,41-6,"Firstly, precise and extremely dense point cloud of fasteners are obtained from commercial structured light sensors."
2707,41-7,"With a decision tree classifier, the defects of the fasteners are classified in detail."
2708,41-8,"Furthermore, a normal vector based center extraction method for complex cylindrical surface is proposed to extract the centerline of the metal clip of normal fasteners."
2709,41-9,"Lastly, the looseness of the fastener is evaluated based on the extracted centerline of the metal clip."
2710,41-10,"Experiments were conducted on high-speed railways to evaluate the accuracy, effectiveness, and the influence of the parameters of the proposed method."
2711,41-11,"The overall precision of the decision tree classifier is over 99.8% and the root-mean square error of looseness check is 0.15 mm, demonstrating a reliable and effective solution for highspeed railway fastener maintenance."
2712,42-1,Correct estimation of soil and vegetation thermal emissivities is of huge importance in remote sensing studies.
2713,42-2,It has been shown that the emissivity of leaves retrieved from field observations show subtle spectral features that are related to leaf water content.
2714,42-3,"However, such field measurements provide additional challenges before leaf water content can be successfully obtained, specifically atmospheric correction."
2715,42-4,The aim of this research was to investigate how information within hyperspectral thermal observations can be used to auto-correct the atmospheric influence.
2716,42-5,Hyperspectral thermal measurements were taken over a large variety of soil and vegetation types (including vineyard and barley) during ESA's REFLEX campaign in 2012 using a MIDAC FTIR radiometer.
2717,42-6,"Using MODTRAN simulations, a simple quadratic model was constructed that emulates the atmosphere radiative transfer between the target and the sensor."
2718,42-7,"Afterwards, this model was used to estimate the concentrations of H2O (g) and CO2 (g) while simultaneously correcting for these gas absorptions."
2719,42-8,"Finally, a temperature-emissivity separation was applied to estimate the emissivities of the different land surface components."
2720,43-1,Total phosphorus (TP) is an important factor of eutrophication.
2721,43-2,The accurate monitoring of TP concentration is conducive to the management of water environments.
2722,43-3,"To improve the accuracy of TP remote sensing inversion, this paper improved and studied the following three aspects."
2723,43-4,"First, a new optical classification method was constructed to classify water into two different types."
2724,43-5,"Compared with other classification methods, the proposed method can be more effective for improving the accuracy of TP inversion."
2725,43-6,"Second, data regression analysis and fitting (DRF), back propagation neural network (BP) and random forest (RF) were used to build TP inversion models based on the different water type."
2726,43-7,"The validation results indicated that the DRF performed best, with the highest precision for all water types, and was suitable for TP inversion."
2727,43-8,"Finally, the performance of the classification and inversion algorithms on Sentinel-3 data was evaluated and one image was acquired for mapping the TP concentration in Taihu Lake."
2728,43-9,"All in all, this study improves the accuracy of TP inversion by combining the new classification algorithm with DRF."
2729,43-10,"This is significant for the development of class-based water quality parameter inversion algorithms for water color remote sensing, and this approach can be applied in the effective management and control of the eutrophication of lake environments."
2730,44-1,High spatial resolution hyperspectral imagery has shown considerable potential for deriving accurate land cover maps in urban areas.
2731,44-2,"In this paper, a new classification framework for mapping land cover in urban environments using high spatial resolution hyperspectral data was proposed."
2732,44-3,"The proposed classification scheme was applied to map urban land cover using APEX data in the city of Baden, Switzerland."
2733,44-4,"We first used the NDWI and NDVI indices to separate the land cover in the scene into three main classes: water, vegetation and non-vegetated surface."
2734,44-5,Then we partitioned the scene into many superpixels and applied classification using a SVM separately on the vegetation and non-vegetated surfaces.
2735,44-6,"Soil was classified both in vegetation and non-vegetated surface, and these two soil results were merged in the final classification map."
2736,44-7,"Shadows were initially classified in shaded vegetation surfaces and shaded non-vegetated surfaces, and then they were further classified into meaningful land cover categories."
2737,44-8,Our experimental results demonstrate that the proposed classification framework is well suited for mapping land cover in urban environments using high resolution hyperspectral data.
2738,44-9,"Although the proposed method performs better than traditional methods in terms of soil classification accuracy, our findings emphasize that the soil class should be interpreted with caution in urban land cover maps derived from remote sensing data, even when high spatial resolution hyperspectral data are used."
2739,44-10,"Results from this study also demonstrate that although shaded surfaces are generally classified as a single category in urban environments, in high resolution hyperspectral data, the shadows can be further classified into meaningful land cover classes with an acceptable accuracy."
2740,45-1,"Urban planning to solve environmental problems in Latin American cities requires information that commonly does not exist or, if it does exist, is at different scales, which makes the information incomparable."
2741,45-2,"Therefore, a quantitative approach is proposed to assess an urban environmental quality index (UEQI) for Cali, Colombia, integrating remote sensing and census data."
2742,45-3,"Landsat TM images were used to extract biophysical indicators: land surface temperature (LST), normalized difference vegetation index (NDVI), soil adjusted vegetation index (SAVI), leaf wetness content index (LWCI), normalized humid index (NHI), normalized difference built-up index (NDBI), and normalized difference impervious surface index (NDISI)."
2743,45-4,These seven indicators were integrated with seven socioeconomic indicators obtained from census data using multivariate statistical analysis to determine the UEQ index at the commune level.
2744,45-5,"The results showed consistent correlation among the indicators, and the highest values of UEQI occurred in communes with less built-up areas and more green areas."
2745,45-6,There were statistically significant differences among the index at the commune level.
2746,45-7,"Therefore, communes were categorized into five classes (very good, good, moderate, poor and very poor environmental quality) according to the index to determine the most critical interventions to be made by planning and decision-making institutions."
2747,45-8,This method could be applied to similar cities using large-scale administrative units.
2748,46-1,"The Moderate-resolution Wide-wavelengths Imager (MWI) is the next-generation ocean-color sensor independently designed by China and was successfully launched on September 15, 2016 onboard the Tiangong-2 (TG-2) Space Lab."
2749,46-2,It is currently urgent to assess the capability and data quality of the MWI sensor to determine its future applications.
2750,46-3,"In this study, we first assessed the signal-to-noise ratio (SNR) and the radiometric sensitivity of the MWI."
2751,46-4,"With this goal, we chose the third largest freshwater lake in China, Lake Taihu, as our test area and assessed the capability of the MWI to monitor the turbid inland waters by comparing its consistency with that of Moderate Resolution Imaging Spectroradiometer (MODIS) data and Geostationary Ocean Color Imager (GOCI) data."
2752,46-5,"Our results show that (1) the SNR values of the MWI are greater than 400 in the visible band and are sufficient to effectively avoid ocean-color data errors caused by the sensor noise; however, the SNR values of the MWI are below 200 in the near-infrared (NIR) band and are lower than the theoretical expectation for the design of ocean-color sensors; (2) on the one hand, the MWI-derived remote sensing reflectance (R-rs)data have large errors in the blue band ((R-2 < 0.20, MAPE < 50%)) but reduced errors in the red and NIR bands with a high correlation (R-2 > (190, MAPE < 10%) compared with in situ R-rs; on the other hand, the MWI-derived R-rs data are generally consistent with the MODIS- and GOCI-derived R-rs data (((R-2 > 0.90, MAPE < 10%))); and (3) the MWI-derived concentration distributions of cyanobacterial algal blooms and suspended particulate matter (SPM) in Lake Taihu exhibit high spatial resolutions and good accuracies and are in good agreement with the corresponding distributions yielded by the MODIS and GOCI satellites (((R-2 > 0.90, MAPE < 10%)))."
2753,46-6,"However, the MWI cannot detect signals at the important 700-710 bands and consequently has a relatively weak capability to detect chlorophyll-a (Chia) concentrations in inland waters."
2754,46-7,"In summary, as the Chinese next-generation ocean-color sensor, the overall performance metrics of the MWI approach the present international level."
2755,46-8,"Meanwhile, we suggest that the band of the MWI can be further optimized to improve the derived SNR values in the near-infrared band in order to satisfy the requirements of satellite observations over inland waters."
2756,47-1,"Since 2007, green tides caused by massive blooms of Enteromorpha prolifera have occurred in the Yellow Sea during April and September every year."
2757,47-2,"Generally, the macroalgae first gathered around the Jiangsu coastline and then moved northeastward toward the Shandong Peninsula, but the paths and distribution of green tides have featured obvious inter-annual variation."
2758,47-3,"Here, we describe a new method to forecasting the drift path of green tides with some climate indices such as Nino3.4."
2759,47-4,This method may help policy makers to develop a strategy to prevent green tide disasters and mitigate the consequence more effectively.
2760,48-1,"The LiDAR-derived Canopy height model (CHM), due to its wide applications in forestry, is important for foresters."
2761,48-2,"Before a CHM can be considered a valuable, objective source of information about a canopy surface, it must be properly interpolated and preprocessed, which may sometimes be challenging, especially in case of multilayer and multispecies forest."
2762,49-1,"This study evaluated the potential of five seasonal high resolution Pleiades satellite images for improving urban tree species classification in the City of Tampa, FL, USA."
2763,49-2,We assessed and compared the capabilities of individual and combined Pleiades images acquired during different seasons for classifying the urban tree species to understand the seasonal effect on tree species mapping accuracy.
2764,49-3,"The seven species and groups included sand live oak (Quercus geminata), laurel oak ((Q. laurifolia)), live oak ((Q. virginiana)), pine (species group), palm (species group), camphor (Cinnamomum camphora), and magnolia (Magnolia grandifiora)."
2765,49-4,A multi-level classification system was adopted to classify image objects of the tree species and groups.
2766,49-5,"Species classification performance was compared between the five individual seasonal Pleiades images, between two combined dry-wet season images, and between the optimal single season and combined dry-wet season image data."
2767,49-6,Shade image objects were spectrally normalized to similar sunlit image objects.
2768,49-7,The tree species fraction features were extracted from the seasonal images using the Mixture Tuned Matching Filtering approach and used as additional features to a set of spectral and spatial/textural features.
2769,49-8,"Random Forest, Support Vector Machine and Linear Discriminant Analysis classifiers were used to classify the seven tree species and groups with image objects features."
2770,49-9,"The experimental results indicate significantly improved tree species mapping accuracies using late spring season (April) image compared to all other seasonal images ((p < 0.01)), and combined dry-wet season images performed even better."
2771,49-10,Results suggest a significant seasonal effect on tree species classification.
2772,49-11,The results also demonstrate that the Random Forest outperformed the Support Vector Machine and Linear Discriminant Analysis classifiers for tree species classification.
2773,49-12,"Therefore, in practice, it is important to choose appropriate seasonal remote sensing data for mapping tree species."
2774,5-1,"The L-band (1.41 GHz) passive microwave remote sensing technique is the approach used by the first satellites dedicated to soil moisture measurement, the European Space Agency's (ESA) Soil Moisture and Ocean Salinity (SMOS), and the Soil Moisture Active Passive (SMAP) mission developed by the National Aeronautics and Space Administration (NASA)."
2775,5-2,These satellites aim to provide global soil moisture maps for the top similar to 5 cm layer of soil with an accuracy better than 0.04 m(3)/m(3).
2776,5-3,"However, with a passive microwave observing resolution of similar to 40 km, non-soil targets such as surface rock may possibly confound the brightness temperature observations and degrade the accuracy of retrievals for many SMOS and SMAP pixels across the world."
2777,5-4,"Since the microwave contribution of rock is not well accounted for in current soil moisture retrieval algorithms, simply ignoring its existence may be detrimental to the performance of resultant soil moisture products."
2778,5-5,"Using a combination of model simulations and airborne field campaign data from central Australia, this study has determined that a rock cover fraction threshold of up to 0.4 can be tolerated before the 0.04 m(3)/m(3) soil moisture target accuracy is potentially exceeded under extreme dry or wet conditions."
2779,5-6,"However, this threshold reduces to 0.2 when assessed in terms of a brightness temperature impact > 4 K."
2780,5-7,"These rock fraction thresholds have subsequently been applied to the Ecoclimap rock cover map, identifying the SMOS and SMAP pixels globally that are likely to be adversely affected if rock is unaccounted for."
2781,5-8,"The results show that approximately similar to 3.3% of all SMOS and SMAP pixels may have brightness temperature impacts exceeding 4 K from surface rock, with Asia being the most affected, having similar to 6.0% affected pixels."
2782,5-9,"These values reduce to similar to 1.5% of SMOS and SMAP pixels globally, and similar to 3.1% for Asia, when assessed in terms of soil moisture errors expected to possibly exceed 0.04 m(3)/m(3) when not accounting for surface rock."
2783,50-1,Percent vegetation cover (PVC) and the fraction of absorbed photosynthetically active radiation (fAPAR) are important functional variables for assessing Arctic vegetation density and vigor.
2784,50-2,"In this study, field measures of PVC, fAPAR and normalized difference vegetation index (NDVI) were collected from July 5 to August 8, 2015 ((i.e., summer season)) along a moisture gradient in the Apex River Watershed (ARW) (63 degrees 45'N, 68 degrees 30'W), Baffin Island, Nunavut, Canada."
2785,50-3,"Two field methods for estimating PVC ((i.e., the point-frame and image classification methods)) were examined and it was determined that the image classification approach provided a suitable alternative to the point-frame method, especially for detecting changes in Arctic PVC."
2786,50-4,"Meanwhile, fAPAR was measured based on the method presented by Tagesson et al. (2012): f APAR = (1 -PAR(Reflected)/PAR(incoming)) x PVC."
2787,50-5,The spatial and temporal patterns of PVC and fAPAR in the context of NDVI derived from remote sensing data were examined.
2788,50-6,"For this site, vegetation types exhibited contrasting patterns of PVC as a result of differing moisture regimes: (1) vegetation types with saturated soils ((e.g., sedge dominated)) exhibited a continuous increase in PVC throughout the growing season; (2) mesic vegetation types with moderate soil moisture ((e.g., mosses dominated with a mixture of sedges and shrubs)) exhibited an increase in PVC from July to early August followed by a decline in mid-August; and (3) semi-desert vegetation types that tended to dry early in the growing season ((e.g., dominated by prostrate dwarf shrubs, herb tundra and large areas of bare soil and rock)) exhibited little variation in PVC."
2789,50-7,"Field measures of PVC and fAPAR demonstrated strong relationships to field NDVI data and the vegetation indices (VIs) derived from 2 m-resolution WorldView-2 data, thereby providing further evidence that VIs are well-suited for modelling PVC and fAPAR of Arctic vegetation."
2790,51-1,Global-scale surface soil moisture products are currently available from multiple remote sensing platforms.
2791,51-2,Footprint-scale assessments of these products are generally restricted to limited number of densely-instrumented validation sites.
2792,51-3,"However, by taking active and passive soil moisture products together with a third independent soil moisture estimates via land surface modeling, triple collocation (TC) can be applied to estimate the correlation metric of satellite soil moisture products (versus an unknown ground truth) over a quasi-global domain."
2793,51-4,"Here, an assessment of Soil Moisture Active Passive (SMAP), Soil Moisture Ocean Salinity (SMOS) and Advanced SCATterometer (ASCAT) surface soil moisture retrievals via TC is presented."
2794,51-5,"Considering the potential violation of TC error assumptions, the impact of active-passive and satellite-model error cross correlations on the TC-derived inter-comparison results is examined at in situ sites using quadruple collocation analysis."
2795,51-6,"In addition, confidence intervals for the TC-estimated correlation metric are constructed from moving-block bootstrap sampling designed to preserve the temporal persistence of the original (unevenly-sampled) soil moisture time series."
2796,51-7,"This study is the first to apply TC to obtain a robust global-scale cross-assessment of SMAP, SMOS and ASCAT soil moisture retrieval accuracy in terms of anomaly temporal correlation."
2797,51-8,"Our results confirm the overall advantage of SMAP ((with a global average anomaly correlation of 0.76)) over SMOS ((0.66)) and ASCAT ((0.63)) that has been established in several recent regional, ground-based studies."
2798,51-9,"SMAP is also the best-performing product over the majority of applicable land pixels (52%), although SMOS and ASCAT each shows advantage in distinct geographic regions."
2799,52-1,The availability of remote sensing images of various resolutions has enabled the incorporation of landscape structures in land-cover mapping.
2800,52-2,"Despite the effectiveness of landscape metrics in quantifying landscape structures, they are inadequate in characterizing three elements: spatial neighborhoods, spatial dependencies, and semantic dependencies."
2801,52-3,"Moreover, methods for mining the regularity of landscape-structure heterogeneity ((i.e., spatial variations in landscape structures)) are still limited, particularly for applications in urban land-cover mapping."
2802,52-4,This study hence proposes a novel approach with the aims to (1) characterize landscape structures considering the above three elements; (2) mine the regularity of landscape-structure heterogeneity; and (3) apply landscape-structure information as contexts to improve urban land-cover mapping.
2803,52-5,"To achieve the first aim, landscape-structure features including pair-wise spatial relationships and neighborhood-based landscape metrics are defined."
2804,52-6,"To accomplish the second aim, a clustering technique and a landscape infographic are used to cluster landscape structures and visualize landscape-structure types, respectively."
2805,52-7,"Finally, a hierarchical classifier based on the feedforward multi-layer perceptron is developed for the third aim."
2806,52-8,"Experiments are conducted in a heterogeneous urban environment in Beijing, China."
2807,52-9,"The results show that the proposed approach, which considers 34 landscape-structure features and 19 landscape-structure types, achieves a classification accuracy improvement of 6.43% compared with the approaches without considering landscape-structure information."
2808,52-10,This study therefore demonstrates the effectiveness of incorporating landscape-structure features and landscape-structure types in improving urban land-cover mapping.
2809,53-1,Characterizing offshore areas for marine conservation faces impediment from logistics and costs of in situ data collection.
2810,53-2,"This study leveraged the high spatial and temporal coverage provided by remote-sensing ocean colour products, and the concept of biogeographical classification to delineate areas in the pelagic environment with application to marine conservation."
2811,53-3,"Satellite-derived and modelled biogeophysical data were used to delineate an area of biological and physical homogeneity spatially consistent with the static boundaries of the Scotian Slope Ecologically and Biologically Significant Area (EBSA), off eastern Canada."
2812,53-4,"We used iterative cluster analysis applied to an archive (2004-2014) that consisted of remotely-sensed Chlorophyll a, sea-surface temperature, and primary production derived from the Moderate resolution Imaging Spectroradiometer (MODIS), and simulated mixed layer depth to define ""dynamic"" boundaries of the EBSA at bi-weekly, seasonal and annual resolutions."
2813,53-5,"The final cluster extended further east than the static EBSA in summer and fall, indicating that characteristics of the static EBSA environment persist beyond the current boundaries in these seasons."
2814,53-6,"In winter and spring, the final areas derived by our analysis was smaller than the static EBSA, but again showed extension beyond the current eastern boundary."
2815,53-7,Both ice and cloud cover affecting remotely-sensed data and the extent of water column mixing were important in determining the size of the final cluster.
2816,53-8,"The dynamic cluster east of the original static boundary incorporated an area of lower Chlorophyll a and water column primary production in the spring, but higher values in the autumn relative to the static area."
2817,53-9,Overall physical and biological characteristics of the static and dynamic EBSA considered in this research were similar within and across years.
2818,53-10,This methodology incorporates ocean-colour data and modelled estimates of multiple biological and physical characteristics to objectively refine areas of ecological interest at a spatial scale relevant for the management of marine conservation areas.
2819,54-1,Urban land-use mapping is a significant yet challenging task in the field of remote sensing.
2820,54-2,"Although numerous classification methods have been developed for obtaining land-use information in urban areas, the accuracy and efficiency of these methods are insufficient to meet the requirements of real-world applications such as urban planning and land management."
2821,54-3,"In recent years, deep learning techniques, especially deep convolutional neural networks (DCNN), have achieved an astonishing level of performance in image classification."
2822,54-4,"However, the traditional DCNN methods do not focus on multispectral remote sensing images with more than three channels, and they are limited by their training samples."
2823,54-5,"In addition, these methods uniformly decompose large images into small processing units, which chop up the land-use patterns and produce land-use maps with obvious ""blocks""."
2824,54-6,"In this study, a semi-transfer deep convolutional neural network (STDCNN) approach is proposed to overcome these weaknesses."
2825,54-7,The proposed STDCNN has three parts: one part involves a transferred DCNN with deep architecture; another part is designed to analyze multispectral images; and the final part fuses the first two parts into a classification layer.
2826,54-8,"Moreover, a skeleton-based decomposing method using street block data is devised to maintain the integrity of the land-use patterns."
2827,54-9,"In two case studies, the proposed method is used to generate urban land-use maps from a WorldView-3 image of a 143 km(2) area of Hong Kong and a WorldView-2 image of a 25 km(2) area of Shenzhen."
2828,54-10,"The results show that the proposed STDCNN obtains an overall accuracy (OA) of 91.25% and a Kappa coefficient (Kappa) of 0.903 for Hong Kong land-use classification, and an OA of 80% and a Kappa of 0.780 for Shenzhen land-use classification."
2829,54-11,"In addition, due to the proposed skeleton-based decomposition method, the proposed method can produce better land-use maps for real-world urban applications."
2830,55-1,The potential for estimating streamflow in large continental rivers from satellite observations of river hydraulic variables has been well recognized.
2831,55-2,However this has not been widely applied to smaller regional rivers.
2832,55-3,"In this study, we investigated the reliability of calibrating a hydrological model for the upper Yalongjiang River Basin on the Qinghai-Tibet Plateau, based solely on river water surface widths derived from four high spatial resolution commercial satellite images: two from QuickBird and one each from IKONOS and WorldView-1."
2833,55-4,The model was forced using satellite-based meteorological datasets and calibrated using remotely sensed river widths.
2834,55-5,"In situ gauged data are not used for modeling, making the approach applicable for ungauged basins."
2835,55-6,"To shift the calibration objective from streamflow to river width, the hydrological model is connected to the at-a station hydraulic geometry (AHG) relationship."
2836,55-7,Generalized likelihood uncertainty estimation was used for automatic calibration and to better quantify simulation uncertainty.
2837,55-8,"After constraining the model parameter space solely to the river width observations, the Nash-Sutcliffe Efficiency values for the streamflow simulated using the calibrated model reached 64.3% in the calibration period and 55.8% in the validation period."
2838,55-9,"When calibrating the model using river width datasets with designed measurement error associated with riparian canopy, the influences of error on model simulation were less than expected."
2839,55-10,This was because the effect of the error was counteracted by adjustment of the AHG parameters.
2840,55-11,"Both superimposing updated ranges for the AHG parameters and further constraining the model output using hydrological signature information following calibration reduced simulation uncertainty, particularly with use of the latter method."
2841,55-12,"This study demonstrates the potential for application of the proposed calibration method to regional ungauged basins lacking ground streamflow observation data, and provides insights into how remote sensing data can be more effectively integrated with hydrological modeling."
2842,56-1,"Mexico's largest freshwater body, Lake Chapala, is the main source of drinking water for over 4-million inhabitants."
2843,56-2,"This study used satellite and field data to obtain annual estimates of Lake Chapala's area and water volume from 1973 to 2009, as well as water intakes from 1934 to 2013."
2844,56-3,"Twenty-one Landsat images (multispectral scanner system, 2, 5, and 7) for the period of 1973 to 2009 were processed."
2845,56-4,Gap filling correction was applied to Landsat 7 enhanced thematic mapper plus scan line corrector-off images.
2846,56-5,Binary water/no-water segmentation was obtained with a Markov random field model using the normalized difference water index.
2847,56-6,"An area-based model was developed to calculate water volume, which used the lake's area estimated based on the images as well as an exponential function obtained from area-elevation curves."
2848,56-7,Three of the resulting water/no-water layers were validated against reference points taken from aerial photography.
2849,56-8,Overall accuracies of 77% to 90% were obtained.
2850,56-9,A correlation coefficient of 0.9 resulted when comparing the results from using remote sensing to calculate water volume against field measurements.
2851,56-10,"Given the observed reduction in volume, we concluded that it will be difficult to continue to use the lake as the main source of freshwater for the Guadalajara metropolitan area without substantial interventions."
2852,57-1,"The regional surface soil heat flux (G(0)) is very important for the large-scale land surface process modeling, and particularly for the regional evapotranspiration estimation."
2853,57-2,Harmonic analysis method (HM) could obtain regional G(0) using remote sensing data.
2854,57-3,"However, it has been demonstrated that HM cannot work well during nighttime due to the nonharmonic nature of G(0)."
2855,57-4,"Encouraged by the half-order method (HO), which can resolve nonharmonic series, this study combined the two methods of HM and HO in order to obtain an accurate estimation of G(0) for full day."
2856,57-5,The combined method was assessed with in-situ measurements and was applied to the Heihe River Basin (HRB) of northwest China using multiremote sensing observations at 30-min intervals.
2857,57-6,"The below-canopy soil surface temperature (T-s) is one of the key variables in the model, which can be estimated from canopy temperature (T-e)."
2858,57-7,The relationship of T-e and T-s was discussed.
2859,57-8,"Results show that the nighttime G(0) improves with coefficient of determination (R-2) from 0.17 to 0.66 by HO method over maize and from 0.09 to 0.81 over grassland, and root mean square error decreases from 24.5 to 16.6 W m(-2), 16.1 to 8.68 W m(-2) over maize and grassland, respectively."
2860,57-9,"Regional G(0) for bare soil is larger than the vegetation surface, and values in the middle reach area of HRB are generally higher than the upper reach area because of larger fractional vegetation cover in the upper reach."
2861,57-10,"For maize, grassland, and vegetable surfaces (all are dense vegetation in July in this study), the combined method performed better when using T-e (almost coincides with remote sensing measurement land surface temperature) than estimated T-s by a simple empirical formula provided by Murray and Verhoef."
2862,57-11,The combined method gets more accurate diurnal G(0) than individual HM.
2863,57-12,"However, a more theoretical relationship of T-e and T-s is required when more accurate G(0) is needed in other studies."
2864,58-1,Ship classification in synthetic aperture radar (SAR) images is essential in remote sensing but still full of challenges in the deep learning era.
2865,58-2,The unbalanced dataset and lack of models are two limitations.
2866,58-3,Upsampling with data augmentation and ratio batching are proposed to solve the first problem.
2867,58-4,Upsampling with data augmentation is upsampling by cropping and flipping.
2868,58-5,It can improve the diversity of the dataset.
